"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comp_check","comments","trialNum","swatch","response","responseCoded","rt","country"
"1","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",1,"BI2A00004","probably yes",2,3673,"india"
"2","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",2,"BI2A00010","probably yes",2,5979,"india"
"3","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",3,"BI2A00037","probably yes",2,1807,"india"
"4","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",4,"BI2A00047","probably yes",2,1595,"india"
"5","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",5,"BI2A00042","probably yes",2,10389,"india"
"6","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",6,"BI2A00003","probably yes",2,2031,"india"
"7","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",7,"BI2A00035","probably yes",2,1947,"india"
"8","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",8,"BI2A00006","probably yes",2,1763,"india"
"9","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",9,"BI2A00039","probably yes",2,1572,"india"
"10","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",10,"BI2A00044","probably yes",2,1693,"india"
"11","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",11,"BI2A00041","probably yes",2,3355,"india"
"12","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",12,"BI2A00022","probably yes",2,2381,"india"
"13","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",13,"BI2A00028","probably yes",2,1013,"india"
"14","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",14,"BI2A00032","probably yes",2,814,"india"
"15","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",15,"BI2A00011","probably yes",2,1959,"india"
"16","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",16,"BI2A00005","probably yes",2,1049,"india"
"17","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",17,"BI2A00001","probably no",-2,4429,"india"
"18","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",18,"BI2A00036","probably no",-2,1281,"india"
"19","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",19,"BI2A00018","probably no",-2,2500,"india"
"20","pain","A2VI55LKT5L4KB","grad_degree",NA,"asian_southAsian","male",37,"islam","In my opinion this one can feel pain for sure.","yes I am facing problem when loading images, one image represents more than one number I get confused whether images loaded correctly or not but otherwise this is very interesting and knowledgeable task,  ",20,"BI2A00046","equally yes/no",0,8165,"india"
